,,
,,
,,
,,
FIPS_Code,Stabr,PCTPOVALL_2021
26111,MI,10.6
26113,MI,11.8
26115,MI,9.5
26117,MI,13.2
26119,MI,16.9
26121,MI,14.4
26123,MI,14.5
26125,MI,7.8
26127,MI,14.4
26129,MI,17.4
26131,MI,11.7
26133,MI,12.9
26135,MI,16.3
26137,MI,10.1
26139,MI,7.5
26141,MI,13.5
26143,MI,17.8
26145,MI,20.7
26147,MI,11.1
26149,MI,12.4
26151,MI,14.5
26153,MI,13.9
26155,MI,10.8
26157,MI,13
26159,MI,13.3
26161,MI,12.4
26163,MI,19.6
26165,MI,15.2
27000,MN,9.3
27001,MN,10.9
27003,MN,6.8
27005,MN,11.3
27007,MN,15.3
27009,MN,8.7
27011,MN,12.8
27013,MN,13.2
27015,MN,9.2
27017,MN,10.4
27019,MN,4.6
27021,MN,11.7
27023,MN,10.6
27025,MN,6.5
27027,MN,12.9
27029,MN,14
27031,MN,9.7
27033,MN,12
27035,MN,10.7
27037,MN,5
27039,MN,6
27041,MN,9.2
27043,MN,11.4
27045,MN,12.3
27047,MN,10.2
27049,MN,8
27051,MN,10
27053,MN,10
27055,MN,7.4
27057,MN,10.2
27059,MN,8.5
27061,MN,12.2
27063,MN,10.3
27065,MN,12.7
27067,MN,12.4
27069,MN,9.8
27071,MN,13.6
27073,MN,9.8
27075,MN,8.8
27077,MN,10.4
27079,MN,6.7
27081,MN,8.8
27083,MN,10.4
27085,MN,7.5
27087,MN,18.7
27089,MN,9.3
27091,MN,10.8
27093,MN,8.6
27095,MN,10.9
27097,MN,10.1
27099,MN,11.6
27101,MN,8.7
27103,MN,9.8
27105,MN,11.4
27107,MN,11.9
27109,MN,7.7
27111,MN,9.5
27113,MN,10
27115,MN,10.9
27117,MN,10.6
27119,MN,12.3
27121,MN,8.6
27123,MN,13
27125,MN,9.1
27127,MN,9.4
27129,MN,10.6
