"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,
Federal Information Processing Standard (FIPS) Code,State,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
13039,GA,32.3,37.7,21.8
13043,GA,38.3,27.2,12.6
13045,GA,34.6,29.5,21.5
13047,GA,33.0,34.0,22.1
13049,GA,40.6,28.1,12.1
13051,GA,24.4,30.7,35.5
13053,GA,25.1,45.3,24.7
13055,GA,36.5,24.7,10.9
13057,GA,22.6,31.0,38.4
13059,GA,19.2,23.5,47.0
13061,GA,30.3,32.1,18.1
13063,GA,33.1,32.1,20.2
13065,GA,37.1,26.2,11.0
13067,GA,18.2,25.7,49.0
13069,GA,39.2,24.0,14.0
13071,GA,38.5,23.5,14.4
13073,GA,22.7,32.7,37.5
13075,GA,31.9,32.8,16.6
13077,GA,26.6,30.2,33.7
13079,GA,39.8,30.1,11.3
13081,GA,39.8,29.9,13.7
13083,GA,35.2,31.2,16.4
13085,GA,23.4,32.2,32.8
13087,GA,35.7,34.2,14.6
13089,GA,20.4,24.2,46.1
13091,GA,41.2,29.1,15.6
13093,GA,42.8,23.6,13.6
13095,GA,29.7,31.2,22.6
13097,GA,29.4,29.5,29.4
13099,GA,38.8,27.0,14.4
13101,GA,45.2,23.6,10.2
13103,GA,36.4,29.8,24.1
13105,GA,40.0,26.7,12.6
13107,GA,43.2,24.2,12.8
13109,GA,38.2,23.2,15.8
13111,GA,33.3,30.9,23.5
13113,GA,20.8,27.8,46.2
13115,GA,33.0,29.7,20.9
13117,GA,14.6,23.1,55.9
13119,GA,34.7,30.5,16.6
13121,GA,16.5,20.9,55.9
13123,GA,35.3,27.8,22.0
13125,GA,41.0,29.2,11.6
13127,GA,27.1,31.5,30.4
13129,GA,33.9,26.7,16.1
13131,GA,37.5,27.0,15.3
13133,GA,31.0,24.8,31.9
13135,GA,22.3,27.1,38.5
13137,GA,34.1,23.1,23.3
13139,GA,28.3,27.3,25.1
13141,GA,36.1,23.7,9.2
13143,GA,38.8,27.4,16.9
13145,GA,25.6,35.4,32.4
13147,GA,35.9,29.6,16.6
13149,GA,42.1,29.4,10.5
13151,GA,31.4,32.8,28.2
13153,GA,28.2,33.6,31.2
13155,GA,34.5,27.3,17.1
13157,GA,32.1,29.1,25.0
13159,GA,43.7,27.8,16.1
13161,GA,35.3,31.4,12.8
13163,GA,41.3,27.3,11.1
13165,GA,44.3,29.9,8.0
13167,GA,44.7,21.4,9.1
13169,GA,41.2,32.3,17.7
13171,GA,36.3,35.2,18.2
13173,GA,43.2,24.9,17.3
13175,GA,41.7,28.0,16.7
13177,GA,27.4,33.0,30.7
13179,GA,30.6,41.2,19.7
13181,GA,43.7,26.5,13.3
13183,GA,35.6,32.2,14.7
13185,GA,32.6,29.9,26.4
13187,GA,26.6,29.3,32.5
13189,GA,40.2,27.9,16.0
13191,GA,36.2,29.1,18.1
13193,GA,36.3,26.1,10.1
13195,GA,32.9,28.5,20.4
13197,GA,36.7,26.0,14.3
13199,GA,40.6,27.0,11.8
13201,GA,28.9,36.4,19.8
13205,GA,36.2,34.6,11.7
13207,GA,35.1,24.8,28.8
13209,GA,37.5,25.7,17.8
13211,GA,36.4,26.0,27.2
13213,GA,34.3,28.2,10.2
13215,GA,26.8,34.0,27.6
13217,GA,33.5,33.9,21.7
13219,GA,18.9,25.6,51.6
13221,GA,37.0,26.6,21.3
13223,GA,29.9,35.0,25.9
13225,GA,31.6,31.7,21.7
13227,GA,33.3,30.4,24.5
13229,GA,42.2,28.4,15.5
13231,GA,36.2,31.5,20.4
13233,GA,41.2,27.5,13.2
13235,GA,36.3,31.5,12.5
13237,GA,35.5,26.2,25.9
13239,GA,35.4,24.4,9.1
13241,GA,30.4,29.1,26.1
13243,GA,37.1,29.6,12.4
13245,GA,31.9,31.9,22.6
13247,GA,29.0,32.5,27.9
13249,GA,35.6,35.6,15.3
13251,GA,38.0,30.7,14.7
13253,GA,39.8,30.3,15.8
13255,GA,39.1,26.1,18.6
13257,GA,40.3,27.3,16.3
13259,GA,34.8,20.7,15.4
13261,GA,36.8,27.1,19.4
13263,GA,41.7,26.1,14.1
13265,GA,45.2,28.6,8.6
13267,GA,38.9,24.6,14.5
13269,GA,37.8,22.9,15.5
13271,GA,44.6,18.7,7.1
13273,GA,36.7,31.8,10.7
13275,GA,30.7,30.8,25.4
13277,GA,33.5,32.7,17.8
13279,GA,33.2,32.3,16.8
13281,GA,28.3,32.7,31.5
13283,GA,42.2,18.8,14.2
13285,GA,36.0,31.4,19.7
13287,GA,34.0,34.8,10.9
13289,GA,42.2,27.0,11.2
13291,GA,33.8,29.0,24.9
13293,GA,35.2,32.9,14.6
13295,GA,34.6,30.3,19.5
13297,GA,33.8,30.8,23.2
13299,GA,41.9,25.6,14.3
13301,GA,38.5,23.8,9.2
13303,GA,46.0,21.7,16.2
13305,GA,43.8,27.2,13.5
13307,GA,31.5,35.6,13.6
13309,GA,49.2,14.6,9.1
13311,GA,31.1,32.2,21.8
13313,GA,31.4,23.3,17.6
13315,GA,40.4,29.2,12.6
13317,GA,45.6,23.1,12.1
13319,GA,51.7,25.0,10.0
13321,GA,43.8,30.3,10.8
15000,HI,26.8,31.5,34.3
15001,HI,29.4,33.3,30.2
15003,HI,25.6,30.9,36.2
15005,HI,27.7,29.8,36.2
15007,HI,29.5,32.5,30.1
15009,HI,30.1,32.4,30.0
16000,ID,26.5,35.5,29.1
16001,ID,20.8,33.4,40.7
16003,ID,37.4,36.7,18.5
16005,ID,25.7,38.7,29.0
16007,ID,37.5,36.5,19.1
16009,ID,36.3,31.3,18.2
16011,ID,33.6,36.2,19.6
16013,ID,24.1,23.5,42.4
16015,ID,30.7,36.2,27.8
16017,ID,30.4,34.9,26.6
16019,ID,25.3,35.9,31.3
16021,ID,37.8,34.2,16.3
16023,ID,32.1,42.4,14.7
16025,ID,26.5,29.7,23.4
16027,ID,30.1,35.7,20.7
16029,ID,28.8,42.0,18.9
16031,ID,29.3,36.3,18.7
16033,ID,27.1,19.0,19.2
16035,ID,35.1,39.3,18.1
16037,ID,28.7,30.8,27.5
16039,ID,29.9,39.8,19.5
16041,ID,46.7,30.5,15.5
16043,ID,28.5,38.7,21.3
16045,ID,34.4,32.2,21.3
16047,ID,34.3,27.4,15.5
16049,ID,33.0,37.1,22.0
16051,ID,24.4,42.2,25.2
16053,ID,29.7,33.0,13.6
16055,ID,27.0,40.1,26.5
16057,ID,20.5,32.1,43.9
16059,ID,29.8,38.3,21.9
16061,ID,27.2,43.8,18.9
16063,ID,34.0,35.6,11.8
16065,ID,17.4,41.9,36.3
16067,ID,34.5,31.7,12.9
16069,ID,30.2,37.6,25.4
16071,ID,35.8,31.8,22.5
16073,ID,31.0,30.6,13.3
16075,ID,35.8,31.8,18.5
16077,ID,32.3,33.4,13.8
16079,ID,37.0,40.2,11.3
16081,ID,17.8,28.0,46.6
16083,ID,27.5,36.1,23.5
16085,ID,25.0,36.1,29.5
16087,ID,30.0,40.4,17.5
17000,IL,25.4,28.3,36.2
17001,IL,34.9,31.8,25.7
17003,IL,37.7,36.2,12.3
17005,IL,32.7,34.9,21.2
17007,IL,32.5,29.8,24.8
17009,IL,38.3,29.4,13.0
17011,IL,35.5,34.7,20.4
17013,IL,40.6,34.8,17.3
17015,IL,36.2,31.8,19.9
17017,IL,41.8,24.9,18.2
17019,IL,21.4,27.9,45.5
17021,IL,41.8,29.4,18.2
17023,IL,37.3,32.4,23.4
17025,IL,39.2,34.4,14.8
17027,IL,32.7,35.5,23.1
17029,IL,32.3,33.9,25.7
17031,IL,22.4,24.8,40.7
17033,IL,28.9,40.1,17.3
17035,IL,39.0,34.8,19.2
17037,IL,25.3,34.2,33.2
17039,IL,42.0,30.2,20.9
17041,IL,34.2,30.5,19.1
17043,IL,18.1,24.7,50.7
17045,IL,38.5,31.2,18.2
17047,IL,34.4,44.4,13.3
17049,IL,32.8,37.2,23.1
17051,IL,41.0,32.8,12.6
17053,IL,35.2,34.8,21.7
17055,IL,32.7,39.1,17.7
17057,IL,37.0,34.3,18.3
17059,IL,39.2,37.9,11.0
17061,IL,44.6,29.6,16.5
17063,IL,31.7,35.3,26.6
17065,IL,32.3,37.1,18.7
17067,IL,34.4,34.5,24.5
17069,IL,34.2,37.2,13.4
17071,IL,42.9,31.0,18.6
17073,IL,34.4,33.9,23.9
17075,IL,38.5,34.0,15.9
17077,IL,22.9,34.6,34.2
